level,session,exam_date,question_no,question_type,instruction,question_text,target,options,answer,answer_display,image_path
6급,80,2018.02.24,1,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,,世界,,세계,세계,
6급,80,2018.02.24,2,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,,所重,,소중,소중,
6급,80,2018.02.24,3,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,,海軍,,해군,해군,
6급,80,2018.02.24,4,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,,計算,,계산,계산,
6급,80,2018.02.24,5,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,,圖形,,도형,도형,
6급,80,2018.02.24,6,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,,南部,,남부,남부,
6급,80,2018.02.24,7,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,,家族,,가족,가족,
6급,80,2018.02.24,8,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,,平等,,평등,평등,
6급,80,2018.02.24,9,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,,成分,,성분,성분,
6급,80,2018.02.24,10,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,,發表,,발표,발표,
6급,80,2018.02.24,11,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,,根本,,근본,근본,
6급,80,2018.02.24,12,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,,秋夕,,추석,추석,
6급,80,2018.02.24,13,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,,由來,,유래,유래,
6급,80,2018.02.24,14,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,,住民,,주민,주민,
6급,80,2018.02.24,15,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,,地名,,지명,지명,
6급,80,2018.02.24,16,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,,使用,,사용,사용,
6급,80,2018.02.24,17,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,,身體,,신체,신체,
6급,80,2018.02.24,18,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,,運動,,운동,운동,
