level,session,exam_date,question_no,question_type,instruction,question_text,target,options,answer,answer_display,image_path
5급II,113,2026-05-23,1,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,삼촌은 군대에서 工兵이 주특기였다.,工兵,,공병,공병,
5급II,113,2026-05-23,2,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,잦은 전쟁으로 인하여 국력이 弱化되었다.,弱化,,약화,약화,
5급II,113,2026-05-23,3,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,내가 응원하는 팀이 예선전을 가볍게 通過했다.,通過,,통과,통과,
5급II,113,2026-05-23,4,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,공장의 폐수로 인해 水質이 크게 오염되었다.,水質,,수질,수질,
5급II,113,2026-05-23,5,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,이곳의 풍경은 오랜 歲月이 지나도 여전히 그대로이다.,歲月,,세월,세월,
5급II,113,2026-05-23,6,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,전 국민이 한마음으로 團結하여 어려운 시기를 극복하였다.,團結,,단결,단결,
5급II,113,2026-05-23,7,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,내가 가장 좋아하는 선생님은 國史 선생님이다.,國史,,국사,국사,
5급II,113,2026-05-23,8,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,그 집의 형제는 어렸을 때부터 友愛가 돈독했다.,友愛,,우애,우애,
5급II,113,2026-05-23,9,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,아버지는 물고기를 잡는 다양한 方法을 가르쳐 주셨다.,方法,,방법,방법,
5급II,113,2026-05-23,10,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,지환이는 방학 동안 동유럽 지역을 旅行했다.,旅行,,여행,여행,
5급II,113,2026-05-23,11,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,그녀는 아이를 養育하기 위해 대학원 휴학을 신청했다.,養育,,양육,양육,
5급II,113,2026-05-23,12,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,우리 사회는 겸손을 가장 큰 美德으로 삼고 있다.,美德,,미덕,미덕,
5급II,113,2026-05-23,13,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,올해 그 마을은 類例가 없는 가뭄으로 고통을 받았다.,類例,,유례,유례,
5급II,113,2026-05-23,14,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,사무실에 있는 청소 道具를 교체했다.,道具,,도구,도구,
5급II,113,2026-05-23,15,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,오늘은 네가 함께 있어서 정말 幸福한 하루였어.,幸福,,행복,행복,
5급II,113,2026-05-23,16,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,신제품에 대한 廣告를 보고 물건을 구매하는 소비자가 늘었다.,廣告,,광고,광고,
5급II,113,2026-05-23,17,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,옆집 쌍둥이 형제는 누가 형이고 동생인지 한눈에 區別하기가 어렵다.,區別,,구별,구별,
